q,a
Микадзуки строился на верфи Военно-Морского Арсенала в Сасебо в 1925-27 гг.,Микадзуки строился на верфи Военно-Морского Арсенала в Сасебо в тысяча девятьсот двадцать пятом по двадцать седьмой гг.
2-3 июля в составе отряда эсминцем во главе с лёгким крейсером «Юбари» принял участие в обстреле американских войск на остров Рендова.,Второго-третьего июля в составе отряда эсминцем во главе с лёгким крейсером «Юбари» принял участие в обстреле американских войск на остров Рендова.
"Патянин, С.В. Эскадренные миноносцы и миноносцы Японии 1879-1945 гг (рус.).","Патянин, С.В. Эскадренные миноносцы и миноносцы Японии с тысяча восемьсот семьдесят девятого по тысяча девятьсот сорок пятый гг (рус.)."
В 1962—1963 году мост был реконструирован по проекту инженера С. И. Хеймана и архитектора К. П. Савельева.,В тысяча девятьсот шестьдесят втором по тысяча девятьсот шестьдесят третий году мост был реконструирован по проекту инженера С. И. Хеймана и архитектора К. П. Савельева.
"На начальном этапе своей карьеры получил роли ещё в трёх телесериалах: «Молодые и дерзкие» (1973—2009), «Одинокие сердца» (2003—2007) и «Джек и Бобби» (2004—2005).","На начальном этапе своей карьеры получил роли ещё в трех телесериалах: «Молодые и дерзкие» (тысяча девятьсот семьдесят третий—две тысячи девятый), «Одинокие сердца» (две тысячи третий—две тысячи седьмой) и «Джек и Бобби» (две тысячи четвёртый—две тысячи пятый)."
В 1914—1918 гг. — участник Первой мировой войны на стороне Австро-Венгрии.,В тысяча девятьсот четырнадцатом по тысяча девятьсот восемнадцатый гг. — участник Первой мировой войны на стороне Австро-Венгрии.
С 1931—1933 гг. являлся командующим 3-й смешанной бригады венгерской армии.,С тысяча девятьсот тридцать первого по тысяча девятьсот тридцать третий гг. являлся командующим Третьей смешанной бригады венгерской армии.
С 1933—1936 гг. — помощник-адъютант главнокомандующего армией.,С тысяча девятьсот тридцать третьего по тысяча девятьсот тридцать шестой гг. — помощник-адъютант главнокомандующего армией.
С 1936—1938 гг. — комендант Королевский венгерской академии Св. Людовика.,С тысяча девятьсот тридцать шестого по тысяча девятьсот тридцать восьмой гг. — комендант Королевский венгерской академии Св. Людовика.
Эльвира Кастильская (королева Леона) (965—1017),Эльвира Кастильская (королева Леона) (девятьсот шестьдесят пятый—тысяча семнадцатый)
"Эльвира Мендес, королева Леона в 1008—1022 гг.","Эльвира Мендес, королева Леона в тысяча восьмом по тысяча двадцать второй гг."
Член ЦК КПУ в 1976—1986 г.,Член ЦК КПУ в тысяча девятьсот семьдесят шестом по тысяча девятьсот восемьдесят шестой г.
В 1949—1952 г. — служба в Советской армии.,В тысяча девятьсот сорок девятом по тысяча девятьсот пятьдесят второй г. — служба в Советской армии.
"В 1953—1961 г. — электрик, начальник смены, мастер коксового цеха Ждановского коксохимического завода Сталинской области, 1-й секретарь Орджоникидзевского районного комитета ЛКСМУ города Жданова.","В тысяча девятьсот пятьдесят третьем по тысяча девятьсот шестьдесят первый г. — электрик, начальник смены, мастер коксового цеха Ждановского коксохимического завода Сталинской области, 1-й секретарь Орджоникидзевского районного комитета ЛКСМУ города Жданова."
"В 1961—1968 г. — председатель заводского комитета профсоюза, секретарь партийного комитета, заместитель начальника, начальник цеха улавливания, начальник отдела технического контроля Ждановского коксохимического завода Донецкой области.","В тысяча девятьсот шестьдесят первом по тысяча девятьсот шестьдесят восьмой г. — председатель заводского комитета профсоюза, секретарь партийного комитета, заместитель начальника, начальник цеха улавливания, начальник отдела технического контроля Ждановского коксохимического завода Донецкой области."
В 1968—1972 г. — 1-й секретарь Орджоникидзевского районного комитета КПУ города Жданова Донецкой области.,В тысяча девятьсот шестьдесят восьмом по тысяча девятьсот семьдесят второй г. — Первый секретарь Орджоникидзевского районного комитета КПУ города Жданова Донецкой области.
В 1972—1974 г. — 2-й секретарь Ждановского городского комитета КПУ.,В тысяча девятьсот семьдесят втором по тысяча девятьсот семьдесят четвёртый г. — Второй секретарь Ждановского городского комитета КПУ.
В 1974—1984 г. — 1-й секретарь Ждановского городского комитета КПУ Донецкой области.,В тысяча девятьсот семьдесят четвёртом по тысяча девятьсот восемьдесят четвёртый г. — Первый секретарь Ждановского городского комитета КПУ Донецкой области.
Соцветие-корзинка 10—15 мм в диаметре.,Соцветие-корзинка от десяти до пятнадцати мм в диаметре.
Иностранный почётный член ВАСХНИЛ (1957-70).,Иностранный почётный член ВАСХНИЛ (тысяча девятьсот пятьдесят седьмой-семидесятый).
