q,a
"Масса вагонной тележки 1,9 т, диаметр колёс 91,5 см. Кузова вагонов, включая раму, были деревянными; пассажирские вагоны были дополнительно обшиты снаружи железными листами.","Масса вагонной тележки одна целая девять десятых т, диаметр колёс девяносто один с половиной см. Кузова вагонов, включая раму, были деревянными; пассажирские вагоны были дополнительно обшиты снаружи железными листами."
"Во II классе места разделялись подлокотником, скамьи были мягкими, расстояние между ними — большим, сами они глубже — 0,64 м.","Во II классе места разделялись подлокотником, скамьи были мягкими, расстояние между ними — большим, сами они глубже — ноль целых шестьдесят четыре сотых м."
"Карта Титана с подписями на сайте Gazetteer of Planetary Nomenclature (PDF, 3,3 МБ)","Карта Титана с подписями на сайте Gazetteer of Planetary Nomenclature (PDF, три целых три десятых МБ)"
"Во время покрытия видимая звёздная величина должна была измениться с 14,7 (звезда + Харикло) до 18,5 (только Харикло) на время не более 19,2 секунд.",Во время покрытия видимая звёздная величина должна была измениться с четырнадцати целых семи десятых (звезда + Харикло) до восемнадцати целых пяти десятых (только Харикло) на время не более девятнадцати целых двух десятых секунд.
"Это увеличение на 3,8 звёздных величин эквивалентно уменьшению яркости в 32,5 раз.",Это увеличение на три целых восемь десятых звёздных величин эквивалентно уменьшению яркости в тридцать два с половиной раз.
"Короткие волны I (КВ — I) — 75,9 — 40,0 м (3,95 — 7,5 МГц);",Короткие волны I (КВ — I) — семьдесят пять целых девять десятых — сорок целых ноль десятых м (три целых девяносто пять сотых — семь с половиной МГц);
"Ультракороткие волны (УКВ) — 4,56 — 4,11 м (65,8 — 73,0 МГц).",Ультракороткие волны (УКВ) — четыре целых пятьдесят шесть сотых — четыре целых одиннадцать сотых м (шестьдесят пять целых восемь десятых — семьдесят три целых ноль десятых МГц).
"Вес — радиолы не более 14,6 кг, каждой из акустических систем не более 3,5 кг.","Вес — радиолы не более четырнадцати целых шести десятых кг, каждой из акустических систем не более трёх целых пяти десятых кг."
"Масса 3,4 кг.",Масса три целых четыре десятых кг.
"Вне блоков расположены: держатель плавкой вставки, переключатель напряжения, двухполюсный выключатель сети, трансформатор питания, две лампы подсветки шкалы, одна лампа стереоиндикатора (все лампы рассчитаны на напряжение 6,3 В и ток 0,2 А), четыре сдвоенных переменных резистора: «Громкость», «Баланс», «Тембр ВЧ», «Тембр НЧ», разъёмы для подключения антенн КСДВ и УКВ, заземления, магнитофона, акустических систем.","Вне блоков расположены: держатель плавкой вставки, переключатель напряжения, двухполюсный выключатель сети, трансформатор питания, две лампы подсветки шкалы, одна лампа стереоиндикатора (все лампы рассчитаны на напряжение шесть целых три десятых В и ток ноль целых две десятых А), четыре сдвоенных переменных резистора: «Громкость», «Баланс», «Тембр ВЧ», «Тембр НЧ», разъёмы для подключения антенн КСДВ и УКВ, заземления, магнитофона, акустических систем."
