q,a
"Он сватается к 1 из дочерей соседки, благородной дамы, предлагая матери самой решить, какую из дочерей выдать замуж.","Он сватается к одной из дочерей соседки, благородной дамы, предлагая матери самой решить, какую из дочерей выдать замуж."
В страхе перед ним ни 1 из девушек не решается выйти за него.,В страхе перед ним ни одна из девушек не решается выйти за него.
"Все слуги в замке Синей Бороды — продажны, кроме 1 прекрасной пастушки, с которой молодая хозяйка сдружилась.","Все слуги в замке Синей Бороды — продажны, кроме одной прекрасной пастушки, с которой молодая хозяйка сдружилась."
"Хозяйка и пастушка за неделю до возвращения Синей Бороды в замок из любопытства открывают каморку и видят трупы женщин, которые висят на 7 крюках, 8 крюк свободен.","Хозяйка и пастушка за неделю до возвращения Синей Бороды в замок из любопытства открывают каморку и видят трупы женщин, которые висят на семи крюках, восьмой крюк свободен."
"Происходит битва: 2 брата сражаются с Синей Бородой, и его зловещими 3 псами-догами, большими и сильными, как быки, целый час.","Происходит битва: два брата сражаются с Синей Бородой, и его зловещими тремя псами-догами, большими и сильными, как быки, целый час."
"Косвенное влияние на формирование сюжета также оказала судьба 2 жен короля Генриха VIII, Анны Болейн и Екатерины Говард, казненных по приказу своего супруга за супружескую и государственную измену.","Косвенное влияние на формирование сюжета также оказала судьба двух жен короля Генриха VIII, Анны Болейн и Екатерины Говард, казненных по приказу своего супруга за супружескую и государственную измену."
"16 эпизод 1 сезона японского аниме-сериала Сказки братьев Гримм, является почти дословной экранизацией сказки.","Шестнадцатый эпизод первого сезона японского аниме-сериала Сказки братьев Гримм, является почти дословной экранизацией сказки."
"(«Охотник на невест»), в которой Леонид Каневский рассказывал о маньяке Артеме Фомине, убившем 3 девушек, которые хотели выйти замуж.","(«Охотник на невест»), в которой Леонид Каневский рассказывал о маньяке Артеме Фомине, убившем трех девушек, которые хотели выйти замуж."
1 из серий называется «Легенда о синей бороде».,Одна из серий называется «Легенда о синей бороде».
«Гробницы-печи» выдалбливались в скалистой породе и снабжались ступеньками для входа и 1 или 2 погребальными камерами.,«Гробницы-печи» выдалбливались в скалистой породе и снабжались ступеньками для входа и одной или двумя погребальными камерами.
"Samuel, Susan и их 8 детей жили в маленьком домике, и юный Уильям, чтобы попасть в школу, каждый день ходил 7 миль в течение 3 лет.","Samuel, Susan и их восемь детей жили в маленьком домике, и юный Уильям, чтобы попасть в школу, каждый день ходил семь миль в течение трех лет."
Вместе с ним в Нью-Йорк переезжают и его 2 дочери.,Вместе с ним в Нью-Йорк переезжают и его две дочери.
Он торговал на 2 счетах.,Он торговал на двух счетах.
